facility_type,floor_area,year_built,State_Factor,site_eui,Year_Factor,building_class,weather_file,gisjoin,january_min_temp,january_avg_temp,january_max_temp,february_min_temp,february_avg_temp,february_max_temp,march_min_temp,march_avg_temp,march_max_temp,april_min_temp,april_avg_temp,april_max_temp,may_min_temp,may_avg_temp,may_max_temp,june_min_temp,june_avg_temp,june_max_temp,july_min_temp,july_avg_temp,july_max_temp,august_min_temp,august_avg_temp,august_max_temp,september_min_temp,september_avg_temp,september_max_temp,october_min_temp,october_avg_temp,october_max_temp,november_min_temp,november_avg_temp,november_max_temp,december_min_temp,december_avg_temp,december_max_temp,avg_temp,cooling_degree_days,heating_degree_days,ELEVATION,high_energy_usage
Single-Family Detached,3310.0,,State_NY,22.19364496673976,Year_1,Residential,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Mercantile,7500.0,1993.0,State_NY,109.12402846666669,Year_1,Commercial,USA_NY_Greater.Buffalo.Int.725280_2018.epw,G3600290,-2.9200000000000017,24.59655289373814,60.08,8.96,31.879879611459973,66.92,19.04,31.47933342933948,50.0,24.08,38.61947876984127,73.04,39.02,64.99044852941176,89.96000000000001,50.0,67.46272083333334,84.47,55.49,74.78276267281106,91.04,55.94,72.86194892473118,86.0,46.04,67.03456249999999,89.96000000000001,33.08,50.52403801843318,82.94,8.96,35.686254166666664,60.98,19.49,33.06384274193548,55.985,49.52875030339322,894.8563095238095,6553.391905307022,216.2,0
Single-Family Detached,2179.0,,State_NY,4.055069192698998,Year_1,Residential,USA_NY_Sullivan.Co.Intl.725145_2018.epw,G3600250,-7.959999999999994,22.34017815047856,60.08,-0.0400000000000062,30.847462735575,73.04,14.0,31.591785882622283,53.96,19.04,39.349753247100125,75.92,39.878461538461536,63.43523008029408,90.73538461538462,46.04,65.14148493589744,89.96000000000001,48.02,72.55575796364255,91.04,51.08,70.62750652009531,90.68,39.92,63.18533294548588,89.96000000000001,24.98,48.74532006442324,79.16,-2.9200000000000017,34.52519990842491,64.94,6.080000000000002,30.411530075771,57.164,47.83755796865888,636.3434477911956,6931.243392909639,427.6,0
Mercantile,17500.0,2006.0,State_NY,154.34571565714285,Year_1,Commercial,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,1
Single-Family Detached,1228.0,,State_NY,19.32165199000217,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Multi-Family with 5+ Units,322.0,,State_NY,82.37573697061109,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600470,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Single-Family Detached,1228.0,,State_NY,10.64331738143585,Year_1,Residential,USA_NY_Dutchess.Co.725036_2018.epw,G3600270,-13.0,25.583282258064514,62.33,8.059999999999999,34.6482056760204,75.92,17.06,36.57133467741936,59.0,21.92,43.88742916666667,73.04,39.02,63.95069556451613,89.06,46.94,68.07779107142856,93.02,51.08,74.73341244239631,93.92,55.04,74.3715650921659,93.02,44.06,66.11085,93.02,28.94,52.52115322580645,80.96,6.080000000000002,38.7627511904762,69.08,14.0,34.12823790322581,62.06,51.21360141878669,924.4114107142856,5983.290045031056,46.6,0
Multi-Family with 2 - 4 Units,854.0,,State_NY,57.61355556301301,Year_1,Residential,USA_NY_Binghamton.Broome.C.725150_2018.epw,G3600070,-7.059999999999995,21.58283006912442,59.0,3.02,30.701595344387755,68.0,10.94,28.60379608294931,50.0,17.96,38.17785089285714,69.98,39.02,61.22127304147466,84.02,48.02,64.04566150793652,88.97,51.08,70.10324385560676,89.06,51.98,69.31931451612903,86.0,41.0,62.60675625,87.08000000000001,30.02,47.90861847158218,75.92,1.0400000000000027,32.823691369047616,60.08,14.0,29.82522379032258,59.0,46.50618291748206,474.6181666666666,7252.069445263975,485.7,0
Mercantile,17500.0,1928.0,State_NY,93.6919483047619,Year_1,Commercial,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600830,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,0
Office,7500.0,1969.0,State_NY,62.65320917777777,Year_1,Commercial,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Single-Family Detached,2179.0,,State_NY,28.13307510760909,Year_1,Residential,USA_NY_Westchester.Co.725037_2018.epw,G3601190,-0.0400000000000062,28.16134216589862,55.940000000000005,12.020000000000003,37.70617744309262,77.0,23.0,36.765593317972346,57.02,28.04,44.975472756410255,78.08,42.08,63.20044298443492,89.96000000000001,50.0,68.36612179487179,91.04,53.96,74.71991935483871,93.02,59.0,75.25843827543424,91.94,51.98,67.6578592948718,91.94,33.08,54.47561751152072,78.98,10.94,41.58696538461538,69.08,19.94,36.65489883906416,60.98,52.547094167818486,982.3680082417582,5551.153147857577,112.9,0
Single-Family Detached,634.0,,State_NY,11.118291208500978,Year_1,Residential,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Food Service,3000.0,1990.0,State_NY,437.6890991111112,Year_1,Commercial,USA_NY_Albany.County.Airpo.725180_2018.epw,G3600910,-7.959999999999994,23.888092741935488,62.96,3.919999999999998,33.069504464285714,69.98,10.04,34.41444758064516,55.04,20.48,41.824983333333336,69.98,42.98,64.49072177419355,89.06,48.245000000000005,68.39626369047619,93.47,51.98,76.70946255760369,96.98,57.02,74.6700685483871,95.54,44.96,66.82144285714286,93.92,28.64,51.146818548387095,82.94,6.080000000000002,37.265574032738094,62.96,14.0,32.82130933179724,61.58,50.56866464652642,1024.4095000000002,6318.575110539596,85.4,1
Office,1000.0,1968.0,State_NY,117.45344133333332,Year_1,Commercial,USA_NY_Westchester.Co.725037_2018.epw,G3600870,-0.0400000000000062,28.16134216589862,55.940000000000005,12.020000000000003,37.70617744309262,77.0,23.0,36.765593317972346,57.02,28.04,44.975472756410255,78.08,42.08,63.20044298443492,89.96000000000001,50.0,68.36612179487179,91.04,53.96,74.71991935483871,93.02,59.0,75.25843827543424,91.94,51.98,67.6578592948718,91.94,33.08,54.47561751152072,78.98,10.94,41.58696538461538,69.08,19.94,36.65489883906416,60.98,52.547094167818486,982.3680082417582,5551.153147857577,112.9,0
Mercantile,37500.0,1912.0,State_NY,130.66069789333335,Year_1,Commercial,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,1
Single-Family Detached,3310.0,,State_NY,11.937456522110889,Year_1,Residential,USA_NY_Griffiss.Airpark.725196_2018.epw,G3600530,-20.255384615384614,19.91116776853925,60.98,-0.3030769230769223,29.71271441802245,63.074230769230766,3.2553846153846173,30.813208030584217,51.74,17.904615384615386,38.23510004533113,71.6276923076923,30.186153846153847,61.69494875344101,87.81384615384616,43.72769230769231,65.22238255223127,91.44153846153846,46.37230769230769,73.47208864062488,95.55384615384617,49.72307692307693,71.67393024102124,90.995,39.185,64.6824139547544,89.35076923076925,27.126153846153848,49.153421857080296,81.54153846153847,-2.3800000000000026,34.38388974366599,63.32000000000001,6.664999999999999,29.12315805897139,58.086153846153856,47.44868278477326,700.2718367410293,7135.706245906555,154.0,0
Single-Family Detached,634.0,,State_NY,16.44636436814295,Year_1,Residential,USA_NY_Rochester.Monroe.Co.725290_2018.epw,G3600550,-5.980000000000004,25.70868202764977,60.08,10.04,33.825954670329665,69.98,17.06,32.500828629032256,53.06,21.92,40.3030383470696,68.99000000000001,39.92,65.18956048387096,91.94,48.02,68.02096465201467,91.94,53.06,75.20207392473118,94.01,53.96,73.47522806628855,93.02,42.98,67.5270227106227,93.02,32.0,51.01574357497341,86.0,5.0,36.58105461309524,65.03,19.04,33.727009571074085,57.92,50.36022480838226,963.2006076007326,6323.457356889036,164.5,0
Mercantile,17500.0,1986.0,State_NY,102.0923120190476,Year_1,Commercial,USA_NY_Montauk.725014_2018.epw,G3601030,6.979999999999997,33.51903225806451,55.94,17.96,40.38044642857143,59.0,26.96,40.40096774193548,55.04,28.04,46.24491666666666,64.94,44.06,58.68556451612903,78.08,50.0,65.33991666666667,87.08000000000001,55.04,73.0758870967742,87.98,57.02,75.83282258064516,89.96000000000001,47.06,68.63845833333333,87.08000000000001,37.94,57.00620967741935,75.92,19.04,45.65716666666667,64.94,24.98,39.6866129032258,57.02,53.78489383561644,813.72125,4928.540543478261,2.0,0
Single-Family Detached,298.0,,State_NY,54.674470475848096,Year_1,Residential,USA_NY_Massena.Intl.Richar.726223_2018.epw,G3600890,-23.980000000000004,17.12398540706605,59.0,-9.040000000000006,26.92137946428572,62.06,-2.9200000000000017,29.95890063364055,50.0,17.06,38.54787597402598,71.06,33.98,60.71683525345622,84.91999999999999,41.0,64.97766130952381,89.96000000000001,48.002,73.81368951612903,93.92,46.94,72.15762096774193,93.02,39.002,64.01686458333333,93.02,19.94,45.91808870967741,80.96,-7.959999999999994,32.42662261904762,59.0,-4.0,24.20741071428572,48.02,46.0100324023009,710.396919642857,7675.446614542159,60.9,0
Single-Family Detached,1228.0,,State_NY,109.22714641846764,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600810,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,1
Mercantile,150000.0,1932.0,State_NY,42.351671243333335,Year_1,Commercial,USA_NJ_Newark.Intl.Airport.725020_2018.epw,G3600850,5.0,31.47253629032258,64.22,15.079999999999998,41.30662946428571,80.06,26.96,39.87239516129033,60.98,32.0,49.18053333333333,82.94,46.04,66.62160080645162,93.02,51.98,72.32340178571428,96.08,60.98,77.96996774193549,96.98,62.96,78.97001267281105,96.08,53.06,71.18308333333333,98.06,33.98,57.35979435483872,79.52,15.079999999999998,44.17899166666667,71.96,23.0,39.62340725806452,60.08,55.92095088062622,1457.8184464285714,4791.999635869565,2.0,0
Education,75000.0,1986.0,State_NY,48.30427584888889,Year_1,Commercial,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600050,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Multi-Family with 5+ Units,623.0,,State_NY,21.768849934062484,Year_1,Residential,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,0
Mercantile,17500.0,1937.0,State_NY,27.597713285714285,Year_1,Commercial,USA_NY_Floyd.Bennett.Mem.725185_2018.epw,G3601130,-23.59000000000001,19.357666876016143,60.008,-5.140000000000001,28.235690358398603,63.42,6.050000000000004,32.39750374031533,51.59,17.636000000000003,39.49716581643439,68.99000000000001,34.121428571428574,60.97297730655256,86.6,42.176,64.25859978354978,90.76000000000002,46.49692307692308,72.5594546365044,91.76,52.538,71.21465635505979,90.96,38.996,63.40775104072806,89.38727272727273,24.998,47.80393425295057,79.286,3.183636363636367,34.58797572982573,60.008,10.459999999999996,29.625266817188187,53.863076923076925,47.10964208403698,605.0577470204428,7166.080476698624,101.5,0
Multi-Family with 5+ Units,854.0,,State_NY,48.84423891711642,Year_1,Residential,USA_NY_New.York.La.Guardia.725030_2018.epw,G3600050,6.744615384615383,31.722551324505663,59.47076923076923,17.558461538461536,41.57936604397003,78.60615384615384,28.44153846153846,40.37465293980213,57.324615384615385,32.96923076923077,48.8638904039996,81.54153846153847,50.0,66.32760441981327,92.49384615384616,53.06,72.59401124016915,95.13846153846154,64.37230769230769,79.35720669887908,96.7446153846154,68.22153846153847,80.53616502113478,97.22923076923075,57.25538461538461,72.33948694118382,94.52923076923076,42.744615384615386,59.58538116956968,81.95692307692308,17.558461538461536,45.665535457842815,69.95230769230768,26.558461538461536,40.51544082218383,60.941428571428574,56.70986039671113,1572.9891407765028,4618.808440458544,3.0,0
Single-Family Detached,1698.0,,State_NY,22.40517184410104,Year_1,Residential,USA_NY_Syracuse.Hancock.725190_2018.epw,G3600670,-13.0,22.641460253456223,60.98,8.96,32.26470216836734,72.5,8.059999999999999,30.74642396313364,53.96,20.93,39.2964,70.52,32.99,63.23144556451613,89.06,46.94,66.04660833333334,91.94,48.2,73.75654032258063,95.0,53.96,72.45528110599078,91.04,43.07,65.42443958333334,91.94,30.92,49.83390322580645,82.94,-0.9400000000000048,34.38013273809524,60.98,15.079999999999998,30.656883064516126,64.04,48.49539491193738,785.8869642857143,6832.293854037267,124.9,0
Single-Family Detached,2179.0,,State_NY,147.75073240383088,Year_1,Residential,USA_NY_Syracuse.Hancock.725190_2018.epw,G3600670,-13.0,22.641460253456223,60.98,8.96,32.26470216836734,72.5,8.059999999999999,30.74642396313364,53.96,20.93,39.2964,70.52,32.99,63.23144556451613,89.06,46.94,66.04660833333334,91.94,48.2,73.75654032258063,95.0,53.96,72.45528110599078,91.04,43.07,65.42443958333334,91.94,30.92,49.83390322580645,82.94,-0.9400000000000048,34.38013273809524,60.98,15.079999999999998,30.656883064516126,64.04,48.49539491193738,785.8869642857143,6832.293854037267,124.9,1
Single-Family Detached,2179.0,,State_NY,95.3010099168251,Year_1,Residential,USA_NJ_Newark.Intl.Airport.725020_2018.epw,G3600850,5.0,31.47253629032258,64.22,15.079999999999998,41.30662946428571,80.06,26.96,39.87239516129033,60.98,32.0,49.18053333333333,82.94,46.04,66.62160080645162,93.02,51.98,72.32340178571428,96.08,60.98,77.96996774193549,96.98,62.96,78.97001267281105,96.08,53.06,71.18308333333333,98.06,33.98,57.35979435483872,79.52,15.079999999999998,44.17899166666667,71.96,23.0,39.62340725806452,60.08,55.92095088062622,1457.8184464285714,4791.999635869565,2.0,1
Single-Family Detached,881.0,,State_NY,17.52212555221752,Year_1,Residential,USA_NJ_Newark.Intl.Airport.725020_2018.epw,G3600850,5.0,31.47253629032258,64.22,15.079999999999998,41.30662946428571,80.06,26.96,39.87239516129033,60.98,32.0,49.18053333333333,82.94,46.04,66.62160080645162,93.02,51.98,72.32340178571428,96.08,60.98,77.96996774193549,96.98,62.96,78.97001267281105,96.08,53.06,71.18308333333333,98.06,33.98,57.35979435483872,79.52,15.079999999999998,44.17899166666667,71.96,23.0,39.62340725806452,60.08,55.92095088062622,1457.8184464285714,4791.999635869565,2.0,0
Mercantile,17500.0,1948.0,State_NY,139.13786183809523,Year_1,Commercial,USA_NY_Nyc.Central.Park.725060_2018.epw,G3600610,5.0,31.856610732009926,60.98,15.979999999999997,41.51295221742543,78.08,26.96,39.61653846153846,60.98,32.0,48.83767069597069,82.04,48.02,66.028809941067,91.94,51.53,71.35582061965812,91.04,62.96,77.06417130450195,95.0,64.94,77.78305241935485,93.02,53.96,70.39637797619048,91.94,37.94,57.457856832683454,78.98,15.079999999999998,44.59045952380953,71.06,24.98,40.32949335342077,60.98,55.64932890668122,1321.4782683150183,4753.952347811156,39.6,1
